id,gen,plan,cred1,cred1y2,cred1.2y3,cred1234,nac_lug,otros_univ,ocup_rel,sit_labNT,horas,sexto,edad,edad_t,Xfem,Xhijos,Xocup,XeduP,XeduM,XocuP,XocuM,tratamiento,inst,EDA,MC.EDA,carr04,carr11,carr12,carr14,fecing4,fecing11,fecing12,fecing14,fecingEDA,julio,EDAoMCEDA,Xnac_lug,Xhoras,XeduM_num,XeduP_num,Xedu_H,Xsexto,cred1_prop,cred1_2012,cred1y2_prop,cred1y2_2012,cred1.2y3_prop,cred1.2y3_2012,cred1234_prop,cred1234_2012
11,2013,3. Plan 12   ,50,80,80,80,Maldonado,Si posee,Está parcialmente relacionada,No corresponde,Trabaja de 10 a 20 hrs semanales,Interior Publica,33,t31y+,1,1,1,2,2,Asalariado,No trabaja,1,354,0,0,0,0,1,0,NA,NA,19/02/2013,NA,NA,0,0,Interior,Trabaja menos de 30 horas,2,2,2,Interior Publica,0.555555556,50,0.444444444,80,0.296296296,80,0.222222222,80
12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,2014,3. Plan 12   ,10,10,10,10,Canelones,No posee,Está parcialmente relacionada,No corresponde,Trabaja de 31 a 40 hrs semanales,Interior Privada,38,t31y+,1,0,1,2,2,Asalariado,Asalariado,1,666,1,0,0,0,1,0,NA,NA,7/3/2014,NA,7/3/2014,0,1,Interior,Trabaja mas de 30 horas,2,2,2,Interior Privada,0.111111111,10,0.055555556,10,0.037037037,10,0.027777778,10
14,2014,3. Plan 12   ,10,20,20,20,Montevideo,No posee,Está muy relacionada,No corresponde,Trabaja más de 40 hrs semanales,Montevideo Publica,33,t31y+,1,0,1,2,2,Asalariado,Asalariado,1,516,1,1,0,0,1,0,NA,NA,10/2/2014,NA,25/07/2016,0,1,Montevideo,Trabaja mas de 30 horas,2,2,2,Montevideo Publica,0.111111111,10,0.111111111,20,0.074074074,20,0.055555556,20
15,2014,3. Plan 12   ,10,10,30,30,Durazno,Si posee,Está parcialmente relacionada,No corresponde,Trabaja de 31 a 40 hrs semanales,Interior Publica,32,t31y+,1,0,1,1,1,Asalariado,Asalariado,1,188,0,0,0,0,1,0,NA,NA,5/3/2014,NA,NA,0,0,Interior,Trabaja mas de 30 horas,1,1,1,Interior Publica,0.111111111,10,0.055555556,10,0.111111111,30,0.083333333,30
16,2013,3. Plan 12   ,40,70,80,80,Paysandú,Si posee,No corresponde,Busca trabajo por primera vez,No corresponde,Interior Publica,30,t27.30,0,0,0,2,2,Asalariado,Asalariado,1,505,0,0,0,1,1,1,NA,5/2/2013,5/2/2013,5/2/2013,NA,0,0,Interior,No trabaja,2,2,2,Interior Publica,0.444444444,40,0.388888889,70,0.296296296,80,0.222222222,80
17,2013,3. Plan 12   ,10,10,40,40,Montevideo,No posee,Está poco relacionada,No corresponde,Trabaja más de 40 hrs semanales,Montevideo Publica,30,t27.30,0,1,1,NA,3,Sin dato,Asalariado,1,84,0,0,0,0,1,1,NA,NA,4/3/2013,4/3/2013,NA,0,0,Montevideo,Trabaja mas de 30 horas,3,NA,3,Montevideo Publica,0.111111111,10,0.055555556,10,0.148148148,40,0.111111111,40
18,2013,3. Plan 12   ,20,20,20,20,Montevideo,Si posee,No corresponde,Trabajó y busca trabajo,No corresponde,Montevideo Privada,30,t27.30,0,0,0,3,3,No trabaja,Asalariado,1,404,0,0,0,0,1,0,NA,NA,14/02/2013,NA,NA,0,0,Montevideo,No trabaja,3,3,3,Montevideo Privada,0.222222222,20,0.111111111,20,0.074074074,20,0.055555556,20
19,2013,3. Plan 12   ,10,20,40,55,Montevideo,No posee,No corresponde,No trabajó y no busca trabajo,No corresponde,Montevideo Publica,29,t27.30,0,0,0,2,2,Asalariado,Asalariado,1,62,0,0,0,1,1,1,NA,22/02/2013,22/02/2013,7/2/2017,NA,0,0,Montevideo,No trabaja,2,2,2,Montevideo Publica,0.111111111,10,0.111111111,20,0.148148148,40,0.152777778,55
20,2015,3. Plan 12   ,0,0,0,0,Colonia,Si posee,Está muy relacionada,No corresponde,Trabaja de 31 a 40 hrs semanales,Interior Publica,33,t31y+,0,1,1,1,3,Asalariado,Asalariado,1,322,0,1,0,0,1,0,NA,NA,25/02/2015,NA,NA,0,1,Interior,Trabaja mas de 30 horas,3,1,3,Interior Publica,0,0,0,0,0,0,0,0
21,2014,3. Plan 12   ,0,0,0,0,Florida,Si posee,No está relacionada,No corresponde,Trabaja más de 40 hrs semanales,Interior Publica,41,t31y+,1,1,1,1,3,Asalariado,Asalariado,1,666,0,0,0,1,1,0,NA,5/3/2014,5/3/2014,NA,NA,0,0,Interior,Trabaja mas de 30 horas,3,1,3,Interior Publica,0,0,0,0,0,0,0,0
22,2014,3. Plan 12   ,60,80,80,80,Argentina,Si posee,No corresponde,Trabajó y busca trabajo,No corresponde,Montevideo Privada,43,t31y+,0,1,0,3,3,Dirección,Asalariado,1,43,0,0,0,0,1,0,NA,NA,6/3/2014,NA,NA,0,0,Exterior,No trabaja,3,3,3,Montevideo Privada,0.666666667,60,0.444444444,80,0.296296296,80,0.222222222,80
23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,2013,3. Plan 12   ,0,0,0,0,Montevideo,Si posee,Está parcialmente relacionada,No corresponde,Trabaja más de 40 hrs semanales,UTU Montevideo,39,t31y+,0,1,1,2,1,Asalariado,Cuenta propia,1,194,0,0,0,0,1,0,NA,NA,4/3/2013,NA,NA,0,0,Montevideo,Trabaja mas de 30 horas,1,2,2,Montevideo Publica,0,0,0,0,0,0,0,0
25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,2013,3. Plan 12   ,0,0,0,0,Soriano,No posee,Está poco relacionada,No corresponde,Trabaja más de 40 hrs semanales,Montevideo Publica,29,t27.30,1,0,1,2,1,Asalariado,Cuenta propia,1,62,0,0,0,0,1,0,NA,NA,6/3/2013,NA,NA,0,0,Interior,Trabaja mas de 30 horas,1,2,2,Montevideo Publica,0,0,0,0,0,0,0,0
28,2013,3. Plan 12   ,0,0,0,0,Montevideo,Si posee,Está muy relacionada,No corresponde,Trabaja de 21 a 30 hrs semanales,Montevideo Publica,39,t31y+,1,1,1,1,2,No trabaja,No trabaja,1,322,0,0,0,0,1,0,NA,NA,4/3/2013,NA,NA,0,0,Montevideo,Trabaja menos de 30 horas,2,1,2,Montevideo Publica,0,0,0,0,0,0,0,0
29,2013,3. Plan 12   ,20,60,90,110,Rocha,No posee,Está parcialmente relacionada,No corresponde,Trabaja más de 40 hrs semanales,Interior Publica,29,t27.30,0,1,1,1,3,Asalariado,Asalariado,1,104,0,0,0,1,1,0,NA,19/02/2013,19/02/2013,NA,NA,0,0,Interior,Trabaja mas de 30 horas,3,1,3,Interior Publica,0.222222222,20,0.333333333,60,0.333333333,90,0.305555556,110
30,2015,3. Plan 12   ,50,60,60,60,Cerro Largo,Si posee,No está relacionada,No corresponde,Trabaja más de 40 hrs semanales,Montevideo Publica,37,t31y+,0,1,1,3,3,Asalariado,Asalariado,1,212,0,0,0,0,1,0,NA,NA,23/02/2015,NA,NA,0,0,Interior,Trabaja mas de 30 horas,3,3,3,Montevideo Publica,0.555555556,50,0.333333333,60,0.222222222,60,0.166666667,60
31,2015,3. Plan 12   ,0,0,0,0,Cerro Largo,Si posee,No está relacionada,No corresponde,Trabaja más de 40 hrs semanales,Interior Publica,34,t31y+,0,0,1,2,2,Asalariado,No trabaja,1,331,0,0,0,0,1,0,NA,NA,3/3/2015,NA,NA,0,0,Interior,Trabaja mas de 30 horas,2,2,2,Interior Publica,0,0,0,0,0,0,0,0
32,2012,3. Plan 12   ,70,130,150,170,Montevideo,Si posee,Está bastante relacionada,No corresponde,Trabaja más de 40 hrs semanales,Montevideo Publica,33,t31y+,0,0,1,2,3,Asalariado,No trabaja,1,666,0,0,0,0,1,0,NA,NA,7/2/2012,NA,NA,0,0,Montevideo,Trabaja mas de 30 horas,3,2,3,Montevideo Publica,0.777777778,70,0.722222222,130,0.555555556,150,0.472222222,170
33,2012,3. Plan 12   ,10,10,10,10,Montevideo,No posee,No está relacionada,No corresponde,Trabaja menos de 10 hrs semanales,Montevideo Publica,28,t27.30,1,0,1,3,2,Asalariado,Asalariado,1,501,0,0,0,0,1,0,NA,NA,6/3/2012,NA,NA,0,0,Montevideo,Trabaja menos de 30 horas,2,3,3,Montevideo Publica,0.111111111,10,0.055555556,10,0.037037037,10,0.027777778,10
34,2012,3. Plan 12   ,40,70,100,120,Montevideo,Si posee,No está relacionada,No corresponde,Trabaja menos de 10 hrs semanales,Montevideo Publica,26,t23.26,0,0,1,2,1,Cuenta propia,Asalariado,1,62,0,0,0,1,1,0,NA,7/3/2012,7/3/2012,NA,NA,0,0,Montevideo,Trabaja menos de 30 horas,1,2,2,Montevideo Publica,0.444444444,40,0.388888889,70,0.37037037,100,0.333333333,120
35,2014,3. Plan 12   ,0,0,0,0,Montevideo,Si posee,No está relacionada,No corresponde,Trabaja de 21 a 30 hrs semanales,Montevideo Privada,28,t27.30,0,0,1,3,3,Dirección,Asalariado,1,45,0,0,0,0,1,0,NA,NA,5/3/2014,NA,NA,0,0,Montevideo,Trabaja menos de 30 horas,3,3,3,Montevideo Privada,0,0,0,0,0,0,0,0
36,2015,3. Plan 12   ,0,10,10,10,Montevideo,Si posee,No está relacionada,No corresponde,Trabaja de 21 a 30 hrs semanales,Montevideo Privada,34,t31y+,0,0,1,3,2,Dirección,No trabaja,1,210,0,0,0,0,1,0,NA,NA,3/3/2015,NA,NA,0,0,Montevideo,Trabaja menos de 30 horas,2,3,3,Montevideo Privada,0,0,0.055555556,10,0.037037037,10,0.027777778,10
37,2014,3. Plan 12   ,0,0,0,0,Montevideo,Si posee,Está parcialmente relacionada,No corresponde,Trabaja más de 40 hrs semanales,Interior Privada,27,t27.30,0,0,1,3,3,Asalariado,Asalariado,1,501,0,0,0,0,1,1,NA,NA,19/02/2014,19/02/2014,NA,0,0,Montevideo,Trabaja mas de 30 horas,3,3,3,Interior Privada,0,0,0,0,0,0,0,0
38,2012,3. Plan 12   ,0,0,0,0,Montevideo,No posee,Está poco relacionada,No corresponde,Trabaja más de 40 hrs semanales,Montevideo Publica,27,t27.30,1,1,1,2,2,Asalariado,Asalariado,1,61,0,0,0,0,1,0,NA,NA,10/2/2012,NA,NA,0,0,Montevideo,Trabaja mas de 30 horas,2,2,2,Montevideo Publica,0,0,0,0,0,0,0,0
39,2012,3. Plan 12   ,0,0,0,0,Montevideo,Si posee,Está muy relacionada,No corresponde,Trabaja de 31 a 40 hrs semanales,Montevideo Publica,25,t23.26,1,0,1,1,1,Asalariado,Asalariado,1,668,0,0,0,0,1,0,NA,NA,14/02/2012,NA,NA,0,0,Montevideo,Trabaja mas de 30 horas,1,1,1,Montevideo Publica,0,0,0,0,0,0,0,0
40,2014,3. Plan 12   ,0,0,10,10,Montevideo,Si posee,Está parcialmente relacionada,No corresponde,Trabaja de 31 a 40 hrs semanales,Interior Publica,27,t27.30,0,1,1,3,1,Asalariado,Asalariado,1,508,0,1,0,1,1,0,NA,18/02/2014,18/02/2014,NA,NA,0,1,Montevideo,Trabaja mas de 30 horas,1,3,3,Interior Publica,0,0,0,0,0.037037037,10,0.027777778,10
41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,2013,3. Plan 12   ,0,0,0,0,Montevideo,Si posee,Está muy relacionada,No corresponde,Trabaja menos de 10 hrs semanales,Montevideo Privada,26,t23.26,1,0,1,1,3,Cuenta propia,Cuenta propia,1,322,0,0,0,0,1,0,NA,NA,4/2/2013,NA,NA,0,0,Montevideo,Trabaja menos de 30 horas,3,1,3,Montevideo Privada,0,0,0,0,0,0,0,0
43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,2012,3. Plan 12   ,20,40,40,40,Canelones,No posee,No corresponde,Busca trabajo por primera vez,No corresponde,Montevideo Publica,24,t23.26,0,0,0,NA,1,Asalariado,Asalariado,1,352,0,1,0,1,1,0,NA,9/2/2012,9/2/2012,NA,NA,0,1,Interior,No trabaja,1,NA,1,Montevideo Publica,0.222222222,20,0.222222222,40,0.148148148,40,0.111111111,40
45,2013,3. Plan 12   ,0,0,0,0,Montevideo,Si posee,Está parcialmente relacionada,No corresponde,Trabaja más de 40 hrs semanales,Montevideo Publica,27,t27.30,1,0,1,3,3,Asalariado,Asalariado,1,70,0,0,0,0,1,0,NA,NA,13/02/2013,NA,NA,0,0,Montevideo,Trabaja mas de 30 horas,3,3,3,Montevideo Publica,0,0,0,0,0,0,0,0
46,2012,3. Plan 12   ,20,40,40,40,Montevideo,No posee,Está bastante relacionada,No corresponde,Trabaja de 21 a 30 hrs semanales,Montevideo Publica,24,t23.26,1,1,1,2,1,Dirección,No trabaja,1,63,0,0,0,1,1,0,NA,16/02/2012,16/02/2012,NA,NA,0,0,Montevideo,Trabaja menos de 30 horas,1,2,2,Montevideo Publica,0.222222222,20,0.222222222,40,0.148148148,40,0.111111111,40
47,2012,3. Plan 12   ,50,85,115,145,Rivera,Si posee,Está poco relacionada,No corresponde,Trabaja más de 40 hrs semanales,Interior Publica,31,t31y+,0,0,1,1,1,Asalariado,No trabaja,1,666,0,0,0,1,1,1,NA,7/3/2012,7/3/2012,7/3/2012,NA,0,0,Interior,Trabaja mas de 30 horas,1,1,1,Interior Publica,0.555555556,50,0.472222222,85,0.425925926,115,0.402777778,145
48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,2015,3. Plan 12   ,0,0,0,0,Montevideo,No posee,Está relacionada,No corresponde,Trabaja de 31 a 40 hrs semanales,Montevideo Publica,28,t27.30,1,0,1,1,1,Asalariado,Asalariado,1,194,0,0,0,0,1,0,NA,NA,4/3/2015,NA,NA,0,0,Montevideo,Trabaja mas de 30 horas,1,1,1,Montevideo Publica,0,0,0,0,0,0,0,0
51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,2012,3. Plan 12   ,0,0,0,0,Montevideo,Si posee,Está muy relacionada,No corresponde,Trabaja de 31 a 40 hrs semanales,Montevideo Privada,26,t23.26,1,0,1,2,2,No trabaja,No trabaja,1,501,0,0,0,0,1,0,NA,NA,17/02/2012,NA,NA,0,0,Montevideo,Trabaja mas de 30 horas,2,2,2,Montevideo Privada,0,0,0,0,0,0,0,0
54,2014,3. Plan 12   ,0,25,25,25,Montevideo,Si posee,No está relacionada,No corresponde,Trabaja más de 40 hrs semanales,Montevideo Publica,29,t27.30,0,0,1,NA,1,Asalariado,Asalariado,1,82,0,1,0,0,1,0,NA,NA,19/02/2014,NA,NA,0,1,Montevideo,Trabaja mas de 30 horas,1,NA,1,Montevideo Publica,0,0,0.138888889,25,0.092592593,25,0.069444444,25
55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,2014,3. Plan 12   ,35,45,45,45,Montevideo,No posee,No está relacionada,No corresponde,Trabaja más de 40 hrs semanales,Montevideo Privada,30,t27.30,0,0,1,1,1,Dirección,Dirección,1,354,0,1,0,0,1,0,NA,NA,18/02/2014,NA,NA,0,1,Montevideo,Trabaja mas de 30 horas,1,1,1,Montevideo Privada,0.388888889,35,0.25,45,0.166666667,45,0.125,45
57,2013,3. Plan 12   ,10,10,10,10,Montevideo,No posee,Está poco relacionada,No corresponde,Trabaja más de 40 hrs semanales,Interior Publica,30,t27.30,0,0,1,1,1,Asalariado,Asalariado,1,110,0,0,0,1,1,0,NA,20/02/2013,20/02/2013,NA,NA,0,0,Montevideo,Trabaja mas de 30 horas,1,1,1,Interior Publica,0.111111111,10,0.055555556,10,0.037037037,10,0.027777778,10
58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,2012,3. Plan 12   ,20,30,30,30,Montevideo,No posee,No está relacionada,No corresponde,Trabaja más de 40 hrs semanales,Montevideo Publica,28,t27.30,0,0,1,1,2,No trabaja,Cuenta propia,1,65,0,0,0,1,1,1,NA,6/3/2012,6/3/2012,6/3/2012,NA,0,0,Montevideo,Trabaja mas de 30 horas,2,1,2,Montevideo Publica,0.222222222,20,0.166666667,30,0.111111111,30,0.083333333,30
61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,2012,3. Plan 12   ,0,0,0,0,Salto,No posee,Está muy relacionada,No corresponde,Trabaja menos de 10 hrs semanales,Interior Publica,23,t23.26,0,0,1,2,1,Cuenta propia,Cuenta propia,1,159,0,0,0,0,1,0,NA,NA,7/3/2012,NA,NA,0,0,Interior,Trabaja menos de 30 horas,1,2,2,Interior Publica,0,0,0,0,0,0,0,0
64,2015,3. Plan 12   ,0,0,0,0,Montevideo,Si posee,Está parcialmente relacionada,No corresponde,Trabaja de 31 a 40 hrs semanales,Montevideo Publica,31,t31y+,1,0,1,2,3,Asalariado,Asalariado,1,666,0,0,0,1,1,0,NA,5/3/2015,5/3/2015,NA,NA,0,0,Montevideo,Trabaja mas de 30 horas,3,2,3,Montevideo Publica,0,0,0,0,0,0,0,0
65,2012,3. Plan 12   ,0,0,0,0,Montevideo,No posee,NA,No corresponde,Trabaja de 21 a 30 hrs semanales,Montevideo Publica,26,t23.26,0,0,1,1,1,Dirección,No trabaja,1,53,0,0,0,0,1,1,NA,NA,16/02/2012,16/02/2012,NA,0,0,Montevideo,Trabaja menos de 30 horas,1,1,1,Montevideo Publica,0,0,0,0,0,0,0,0
66,2013,3. Plan 12   ,60,140,170,210,Montevideo,No posee,No está relacionada,No corresponde,Trabaja de 10 a 20 hrs semanales,Montevideo Privada,24,t23.26,0,0,1,2,3,Asalariado,Asalariado,1,309,0,0,0,1,1,1,NA,19/02/2013,19/02/2013,9/12/2015,NA,0,0,Montevideo,Trabaja menos de 30 horas,3,2,3,Montevideo Privada,0.666666667,60,0.777777778,140,0.62962963,170,0.583333333,210
67,2012,3. Plan 12   ,50,100,120,185,Salto,No posee,NA,No corresponde,Trabaja más de 40 hrs semanales,Montevideo Publica,23,t23.26,0,0,1,2,2,Cuenta propia,No trabaja,1,62,0,1,0,1,1,0,NA,13/02/2012,13/02/2012,NA,NA,0,1,Interior,Trabaja mas de 30 horas,2,2,2,Montevideo Publica,0.555555556,50,0.555555556,100,0.444444444,120,0.513888889,185
68,2014,3. Plan 12   ,10,10,10,10,Rivera,No posee,Está parcialmente relacionada,No corresponde,Trabaja de 31 a 40 hrs semanales,Interior Publica,25,t23.26,0,0,1,1,1,Asalariado,Asalariado,1,152,0,1,0,1,1,0,NA,23/03/2015,20/02/2014,NA,NA,0,1,Interior,Trabaja mas de 30 horas,1,1,1,Interior Publica,0.111111111,10,0.055555556,10,0.037037037,10,0.027777778,10
69,2015,3. Plan 12   ,0,0,0,0,Montevideo,Si posee,No está relacionada,No corresponde,Trabaja de 21 a 30 hrs semanales,Montevideo Publica,25,t23.26,1,0,1,3,2,Asalariado,Asalariado,1,666,0,0,0,1,1,0,NA,27/02/2015,27/02/2015,NA,NA,0,0,Montevideo,Trabaja menos de 30 horas,2,3,3,Montevideo Publica,0,0,0,0,0,0,0,0
70,2012,3. Plan 12   ,10,10,10,10,Montevideo,Si posee,No está relacionada,No corresponde,Trabaja de 21 a 30 hrs semanales,Interior Publica,23,t23.26,0,0,1,2,2,Dirección,Asalariado,1,179,0,0,0,0,1,0,NA,NA,9/2/2012,NA,NA,0,0,Montevideo,Trabaja menos de 30 horas,2,2,2,Interior Publica,0.111111111,10,0.055555556,10,0.037037037,10,0.027777778,10
