"COUNTRY"	"IDENT"	"REGION"	"DENSITY"	"URBAN"	"LIFEEXPF"	"LIFEEXPM"	"LITERACY"	"POP_INCR"	"BABYMORT"	"GDP_CAP"	"BIRTH_RT"	"DEATH_RT"	"B_TO_D"	"FERTILTY"	"CROPGROW"
"Philippines"	77	3	221	43	68	63	90	1.9	51	867	27	7	3.86	3.4	26
"Poland"	78	2	123	62	77	69	99	0.3	13.8	4429	14	10	1.4	1.9	46
"Portugal"	79	1	108	34	78	71	85	0.4	9.2	9000	12	10	1.2	1.5	32
"Romania"	80	2	96	54	75	69	96	0.1	20.3	2702	14	10	1.4	1.8	43
"Russia"	81	2	8.8	74	74	64	99	0.2	27	6680	13	11	1.18	1.8	8
"Rwanda"	82	4	311	6	46	43	50	2.8	117	292	49	21	2.33	8.2	29
"S. Korea"	83	3	447	72	74	68	96	1	21.7	6627	16	6	2.67	1.7	21
"Saudi Arabia"	84	5	7.7	77	70	66	62	3.2	52	6651	38	6	6.33	6.7	1
"Senegal"	85	4	43	40	58	55	38	3.1	76	744	43	12	3.58	6.1	27
"Singapore"	86	3	4456	100	79	73	88	1.2	5.7	14990	16	6	2.67	1.9	4
"Somalia"	87	4	10	24	55	54	24	3.2	126	2126	46	13	3.54	7.3	2
"South Africa"	88	4	35	49	68	62	76	2.6	47.1	3128	34	8	4.25	4.4	10
"Spain"	89	1	77	78	81	74	95	0.3	6.9	13047	11	9	1.22	1.4	31
"Sweden"	90	1	19	84	81	75	99	0.5	5.7	16900	14	11	1.27	2.1	7
"Switzerland"	91	1	170	62	82	75	99	0.7	6.2	22384	12	9	1.33	1.6	10
"Syria"	92	5	74	50	68	65	64	3.7	43	2436	44	6	7.33	6.7	28
"Tanzania"	93	4	29	21	45	41	46	2.5	110	263	46	19	2.42	6.2	5
"Thailand"	94	3	115	22	72	65	93	1.4	37	1800	19	6	3.17	2.1	34
"Turkey"	95	5	79	61	73	69	81	2	49	3721	26	6	4.33	3.2	30
"U.Arab Em."	96	5	32	81	74	70	68	4.8	22	14193	28	3	9.33	4.5	0
"UK"	97	1	237	89	80	74	99	0.2	7.2	15974	13	11	1.18	1.8	29
"USA"	98	1	26	75	79	73	97	1	8.1	23474	15	9	1.67	2.1	20
"Uganda"	99	4	76	11	43	41	48	2.4	112	325	49	24	2.04	6.8	23
"Ukraine"	100	2	87	67	75	65	97	0.1	20.7	2340	12	13	0.92	1.8	56
"Uruguay"	101	6	18	89	77	71	96	0.8	17	3131	17	10	1.7	2.4	8
"Uzbekistan"	102	5	50	41	72	65	97	2.1	53	1350	30	7	4.29	3.7	10
"Venezuela"	103	6	22	91	76	70	88	2.2	28	2829	26	5	5.2	3.1	3
"Vietnam"	104	3	218	20	68	63	88	1.8	46	230	27	8	3.38	3.3	22
"Zambia"	105	4	11	42	45	44	73	2.8	85	573	46	18	2.56	6.7	7
